here are my supabase tables:

"table_name","column_name","data_type","is_nullable","column_default"
"agent_managers","id","uuid","NO","gen_random_uuid()"
"agent_managers","agent_id","uuid","NO",""
"agent_managers","manager_id","uuid","NO",""
"agent_managers","created_at","timestamp with time zone","YES","now()"
"agents","id","uuid","NO","gen_random_uuid()"
"agents","identifier","text","NO",""
"agents","name","text","YES",""
"agents","created_at","timestamp with time zone","YES","now()"
"agents","is_manager","boolean","YES","false"
"agents","personal_payscale_id","uuid","YES",""
"agents","manager_payscale_id","uuid","YES",""
"agents","fidium_identifier","text","YES",""
"agents","fidium_personal_payscale_id","uuid","YES",""
"agents","fidium_manager_payscale_id","uuid","YES",""
"deductions_reimbursements","id","uuid","NO","gen_random_uuid()"
"deductions_reimbursements","agent_id","uuid","NO",""
"deductions_reimbursements","type","text","NO",""
"deductions_reimbursements","reason","text","YES",""
"deductions_reimbursements","amount","numeric","NO","0"
"deductions_reimbursements","is_completed","boolean","NO","false"
"deductions_reimbursements","created_at","timestamp with time zone","NO","now()"
"deductions_reimbursements","completed_at","timestamp with time zone","YES",""
"deductions_reimbursements","report_id","uuid","YES",""
"deductions_reimbursements","payroll_report_id","uuid","YES",""
"fidium_manager_agent_commission_date_ranges","id","uuid","NO","gen_random_uuid()"
"fidium_manager_agent_commission_date_ranges","fidium_manager_agent_commission_id","uuid","NO",""
"fidium_manager_agent_commission_date_ranges","fidium_plan_id","uuid","NO",""
"fidium_manager_agent_commission_date_ranges","start_date","date","NO",""
"fidium_manager_agent_commission_date_ranges","end_date","date","YES",""
"fidium_manager_agent_commission_date_ranges","manager_commission_value","numeric","NO","0"
"fidium_manager_agent_commission_date_ranges","created_at","timestamp with time zone","YES","now()"
"fidium_manager_agent_commissions","id","uuid","NO","gen_random_uuid()"
"fidium_manager_agent_commissions","manager_id","uuid","NO",""
"fidium_manager_agent_commissions","agent_id","uuid","NO",""
"fidium_manager_agent_commissions","fidium_plan_id","uuid","NO",""
"fidium_manager_agent_commissions","manager_commission_value","numeric","NO","0"
"fidium_manager_agent_commissions","created_at","timestamp with time zone","YES","now()"
"fidium_manager_payscale_date_range_plan_commissions","id","uuid","NO","gen_random_uuid()"
"fidium_manager_payscale_date_range_plan_commissions","fidium_manager_payscale_date_range_id","uuid","NO",""
"fidium_manager_payscale_date_range_plan_commissions","fidium_plan_id","uuid","NO",""
"fidium_manager_payscale_date_range_plan_commissions","manager_commission_type","text","NO","'fixed_amount'::text"
"fidium_manager_payscale_date_range_plan_commissions","manager_commission_value","numeric","NO","0"
"fidium_manager_payscale_date_range_plan_commissions","created_at","timestamp with time zone","NO","now()"
"fidium_manager_payscale_date_ranges","id","uuid","NO","gen_random_uuid()"
"fidium_manager_payscale_date_ranges","fidium_manager_payscale_id","uuid","NO",""
"fidium_manager_payscale_date_ranges","start_date","date","NO",""
"fidium_manager_payscale_date_ranges","end_date","date","YES",""
"fidium_manager_payscale_date_ranges","created_at","timestamp with time zone","NO","now()"
"fidium_manager_payscale_plan_commissions","id","uuid","NO","gen_random_uuid()"
"fidium_manager_payscale_plan_commissions","fidium_manager_payscale_id","uuid","NO",""
"fidium_manager_payscale_plan_commissions","fidium_plan_id","uuid","NO",""
